    PID TTY          TIME CMD
      1 ?        00:00:15 systemd
      2 ?        00:00:00 kthreadd
      3 ?        00:00:00 rcu_gp
      4 ?        00:00:00 rcu_par_gp
      5 ?        00:00:00 netns
      7 ?        00:00:00 kworker/0:0H-events_highpri
      9 ?        00:00:01 kworker/0:1H-kblockd
     10 ?        00:00:00 mm_percpu_wq
     11 ?        00:00:00 rcu_tasks_rude_
     12 ?        00:00:00 rcu_tasks_trace
     13 ?        00:00:03 ksoftirqd/0
     14 ?        00:01:18 rcu_sched
     15 ?        00:00:00 migration/0
     16 ?        00:00:00 idle_inject/0
     18 ?        00:00:00 cpuhp/0
     19 ?        00:00:00 cpuhp/1
     20 ?        00:00:00 idle_inject/1
     21 ?        00:00:00 migration/1
     22 ?        00:00:05 ksoftirqd/1
     24 ?        00:00:00 kworker/1:0H-events_highpri
     25 ?        00:00:00 cpuhp/2
     26 ?        00:00:00 idle_inject/2
     27 ?        00:00:00 migration/2
     28 ?        00:00:08 ksoftirqd/2
     30 ?        00:00:00 kworker/2:0H-events_highpri
     31 ?        00:00:00 cpuhp/3
     32 ?        00:00:00 idle_inject/3
     33 ?        00:00:00 migration/3
     34 ?        00:00:01 ksoftirqd/3
     36 ?        00:00:00 kworker/3:0H-events_highpri
     37 ?        00:00:00 cpuhp/4
     38 ?        00:00:00 idle_inject/4
     39 ?        00:00:00 migration/4
     40 ?        00:00:04 ksoftirqd/4
     42 ?        00:00:00 kworker/4:0H-events_highpri
     43 ?        00:00:00 cpuhp/5
     44 ?        00:00:00 idle_inject/5
     45 ?        00:00:00 migration/5
     46 ?        00:00:01 ksoftirqd/5
     48 ?        00:00:00 kworker/5:0H-events_highpri
     49 ?        00:00:00 cpuhp/6
     50 ?        00:00:00 idle_inject/6
     51 ?        00:00:00 migration/6
     52 ?        00:00:02 ksoftirqd/6
     54 ?        00:00:00 kworker/6:0H-events_highpri
     55 ?        00:00:00 cpuhp/7
     56 ?        00:00:00 idle_inject/7
     57 ?        00:00:00 migration/7
     58 ?        00:00:07 ksoftirqd/7
     60 ?        00:00:00 kworker/7:0H-events_highpri
     61 ?        00:00:00 kdevtmpfs
     62 ?        00:00:00 inet_frag_wq
     63 ?        00:00:00 kauditd
     64 ?        00:00:00 khungtaskd
     65 ?        00:00:00 oom_reaper
     66 ?        00:00:00 writeback
     67 ?        00:00:10 kcompactd0
     68 ?        00:00:00 ksmd
     69 ?        00:00:00 khugepaged
    117 ?        00:00:00 kintegrityd
    118 ?        00:00:00 kblockd
    119 ?        00:00:00 blkcg_punt_bio
    120 ?        00:00:00 tpm_dev_wq
    121 ?        00:00:00 ata_sff
    122 ?        00:00:00 md
    123 ?        00:00:00 edac-poller
    124 ?        00:00:00 devfreq_wq
    125 ?        00:00:00 watchdogd
    129 ?        00:00:00 irq/25-AMD-Vi
    131 ?        00:00:13 kswapd0
    132 ?        00:00:00 ecryptfs-kthrea
    134 ?        00:00:00 kthrotld
    135 ?        00:00:00 irq/26-aerdrv
    136 ?        00:00:00 irq/27-aerdrv
    141 ?        00:00:00 acpi_thermal_pm
    143 ?        00:00:00 vfio-irqfd-clea
    144 ?        00:00:00 mld
    145 ?        00:00:00 ipv6_addrconf
    155 ?        00:00:00 kstrp
    159 ?        00:00:00 zswap-shrink
    160 ?        00:00:00 kworker/u33:0-hci0
    165 ?        00:00:01 kworker/1:1H-kblockd
    166 ?        00:00:00 charger_manager
    188 ?        00:00:01 kworker/6:1H-kblockd
    224 ?        00:00:00 nvme-wq
    225 ?        00:00:00 nvme-reset-wq
    226 ?        00:00:03 kworker/2:1H-events_highpri
    227 ?        00:00:01 irq/31-MSFT0001
    228 ?        00:00:02 kworker/4:1H-kblockd
    229 ?        00:00:00 nvme-delete-wq
    237 ?        00:00:02 kworker/7:1H-events_highpri
    238 ?        00:00:02 kworker/5:1H-events_highpri
    247 ?        00:00:00 scsi_eh_0
    248 ?        00:00:00 scsi_tmf_0
    249 ?        00:00:51 usb-storage
    250 ?        00:00:00 uas
    262 ?        00:00:00 kworker/3:1H-kblockd
    275 ?        00:00:09 jbd2/sda5-8
    276 ?        00:00:00 ext4-rsv-conver
    320 ?        00:00:05 systemd-journal
    346 ?        00:00:00 ipmi-msghandler
    384 ?        00:00:02 systemd-udevd
    422 ?        00:00:00 cryptd
    454 ?        00:00:00 ccp-1-q2
    455 ?        00:00:00 ccp-1-q3
    456 ?        00:00:00 ccp-1-q4
    627 ?        00:00:00 cfg80211
    633 ?        00:00:00 amd_iommu_v2
